,name,name:en,inscription,geometry
3231,Кулик Іван,,,POINT (30.5036928 50.4477541)
3232,Кундзіч Олексій,,,POINT (30.5036998 50.447753)
3233,Лятошинський Борис,,,POINT (30.5037062 50.4477519)
3234,Малишко Андрій,,,POINT (30.5037142 50.4477507)
3235,Микитенко Іван,,,POINT (30.5037227 50.4477493)
3236,Панч Петро,,,POINT (30.5037305 50.447748)
3237,Первомайський Леонід,,,POINT (30.5037406 50.4477464)
3238,Пригара Марія,,,POINT (30.5037508 50.4477488)
3239,Рибак Натан,,,POINT (30.5037527 50.4477534)
3240,Рильський Максим,,,POINT (30.5037547 50.4477584)
3241,Руденко Микола,,,POINT (30.5037566 50.447763)
3242,Собко Вадим,,,POINT (30.5037585 50.4477677)
3243,Стельмах Михайло,,,POINT (30.5037607 50.447773)
3244,Усенко Павло,,,POINT (30.5037625 50.4477776)
3245,Чабанівський Михайло,,,POINT (30.5037643 50.4477819)
3246,Шпак Микола,,,POINT (30.5037665 50.4477874)
3247,Шумило Микита,,,POINT (30.5037682 50.4477917)
3248,Яновський Юрій,,,POINT (30.5037701 50.4477964)
3249,Китайській мові,,В школі-інтернаті №1 Києва вперше в україні в 1956 році запроваджено вивчення китайської мови,POINT (30.3651038 50.4531336)
3250,Тартаковський Ісак,,,POINT (30.5330354 50.4139787)
3251,Тимошенко Олег Семенович,,"У 1982-2004 р.р. ректором Національної музичної академії України ім. П. І. Чайковського працював видатний діяч національного музичного мистецтва, громадський діяч, Народний артист України, академік, професор Олег Семенович Тимошенко",POINT (30.525438 50.4485766)
3252,Шевченко Володимир,,,POINT (30.5479616 50.4167777)
3253,Шишко Сергій,,,POINT (30.533108 50.4138781)
3254,Боровиченко Марія,,,POINT (30.5408863 50.3708923)
3255,Пам'ятник воїнам-визволителям Києва,,"Воїнам України, загиблим у 1941-1943 при захисті та визволенні міста Києва",POINT (30.3317191 50.4698485)
3256,Відкриття ЗПС,,На відзнаку урочистого відкриття злітно-посадочної смуги 26 травня 2001 року,POINT (30.8919797 50.3457537)
3257,Вічна пам’ять героям,,"Братська могила воїнів Радянської Армії і пам'ятник воїнам-односельцям, які загинули в роки Великої Вітчизняної війни",POINT (30.2407801 50.4198299)
3258,Лантушенко Сергій,,"Випускнику воїну-інтернаціоналісту, кавалеру ордена червоної зірки, сержану Лантушенко Сергію Валентиновичу. 1960 - 1980. Від колективу технікуму",POINT (30.2453419 50.5161363)
3259,Літописна криниця IX віку,,,POINT (30.2209061 50.3905589)
3260,Мнишенко Михайло,,Батьківщина героя Радянського Союзу,POINT (30.241823 50.4216829)
3261,Навчалась Боровиченко,,В середній школі №122 м. Києва з 193 по 1941 навчалась Герй Радянського Союзу Марія Сергіївна Боровичено,POINT (30.5412579 50.3709425)
3262,"Пам'ятник радянським громадянам, закатованим фашистами",,"Памяти двадцати тысяч советских граждан, замученных фашистами в Новгороде-Северском в 1941-1943 годах. Живые, помните - они отдали жизнь за Ваше счастье",POINT (33.2779757 52.0055973)
3263,Пам’ятник історії,,Українська РСР. Пам’ятник історії. Охороняється державою. Пошкодження карається законом,POINT (30.3721114 50.4534179)
3264,Печений Микола,,Батьківщина героя Радянського Союзу,POINT (30.241852 50.4217039)
3265,Слава героям,,Слава героям,POINT (30.3895545 50.4260601)
3266,Споруджено у 1997,,Споруджено у 1997,POINT (30.8898972 50.343264)
3267,У цьому будинку,,У цьому будинку з січня 1943 по січень 1944 працювала школа українського штабу партизанського руху по підготовці кадрів для боротьбі в тилу німецько-фашистських загарбників,POINT (30.3720553 50.4531722)
3268,В’ячеславу Чорноволу,,"Цю вулицю названо іменем видатного громадсько-політичного і державного діяча, національного героя, голови Народного руху України В’ячеслава Чорновола (1937-1999)",POINT (25.5953136 49.5535874)
3269,Жертвам репресій,,"Пам'яті жертв політичних репресій (1945-1986). Тут, у слідчих ізоляторах КДБ, засуджено, помордовано і розстріляно тисячі українських патріотів.",POINT (25.5976731 49.5531223)
3270,Гриднєв Віталій,,З 1955 по 1985 рр. інститут металофізики АН УРСР очолював академік АН УРСР Гриднєв Віталій Никифорович 1908-1990,POINT (30.3620004 50.4661646)
3271,Кривоглаз Михаил,,У цьому інституті з 1951 по 1988 р.р. працював член-кореспондент НАН України Михайло Олександрович Кривоглаз 1929-1988,POINT (30.3618479 50.4661541)
3272,Свєчников Василь,,У цьому інституті з 1953 по 1981 рр. працював Академік АН УРСР Свєчников Василь Миколайович 1891-1981,POINT (30.3617007 50.4661441)
3273,Смирнов Адріан,,У цьому інституті з 1950 по 1992 рр. працював академік НАН України Смирнов Адріан Анатолійович 1908-1992,POINT (30.36211 50.4661722)
3274,Василенко Андрій,,"1891-1963 У цьому інституті працював радянський вчений, академік АН УРСР Андрій Овер'янович Василенко",POINT (30.3671999 50.4662845)
3275,Перелома Віталій,,"У цьому інституті в 1968-2000 р.р. працював відомий вчений-металург, член кореспондент НАН України Перелома Віталій Олександрович 1934-2000",POINT (30.3672398 50.4663185)
3276,Антонов Олег,,"У цьому будинку в 1957-1984 роках жив і працював генеральний авіаконструктор, Герой Соціалістичної Праці, лауреат Ленінської та Державної премій, академік, Олег Костянтинович Антонов",POINT (30.3791471 50.461934)
3277,Ктиторам Храму Успіння Пресвятої Богородиці,,"Храм возведен усердием благодетелей: Петра Шведа, Романа Шведа, Андрея Медведева, Дмитрия Павлова, Дмитрия Сидирова, Сергея Аксенова, Александра Афанасьева",POINT (30.3273727 50.4898073)
3278,Штаб КиУР,,На цьому місці з 3 липня до 8 серпня 1941 року знаходився штаб Київського укріпленого району,POINT (30.3565264 50.4530023)
3279,Пам'ятник інженеру,,,POINT (36.2475745 49.9987593)
3280,Борцям за волю та незалежність України,,,POINT (25.3388696 50.4298958)
3281,"Пам'ятник загиблим ОУН-івцям, воякам УПА, дивізії Галичина",,,POINT (24.715467 48.9162891)
3282,Загиблим спіробітникам заводу Авіант,,"Сотрудникам погибшим в Великой Отечественной Войне за честь, свободу и независимость нашей Родины",POINT (30.3928647 50.458941)
3283,Памятник АН-2,,,POINT (30.3886688 50.4658421)
3284,Будинок ДТСААФ,,"Построено на средства, полученные организациями ДОСААФ УССР от членских взносов и лотерей ДОСААФ",POINT (30.4044672 50.4717465)
3285,Воїнам Чехословацької бригади,,"Воїнам 1-ої Чехословацької бригади, які загинули при визволенні м. Києва 6 листопада 1943 року від вдячних жителів хутора Дехтярі",POINT (30.4127528 50.4658012)
3286,Воїнам Чехословацької бригади,,Тут у листопаді 1943 року воіни першої Чехословацької бригади під командуванням Людвіка Свободи пліч-о-пліч з Радянською армією героїчно билися за визволення Києва від німецько-фашистських загарбників,POINT (30.4054036 50.4824102)
3287,Воїнам-визволителям,,"Воїнам-визволителям, підпільщикам та жителям хутора Дехтярі",POINT (30.4128946 50.465741)
3288,Вулиця Бабушкіна,,"Ця вулиця названа ім'ям Бабушкіна Івана Васильовича (1973-1906) - професіонального революціонера-більшовика, учня та соратника В.І.Леніна, активного агента і кореспондента газети ""Іскра""",POINT (30.4119048 50.4616429)
3289,Марченко Валерій,,"У цьому будинку з квітня 1963 до жовтня 1983 року жив Валерій Марченко 19.ХІ.1947 7.Х.1984 талановитий науковець, перекладач, публіцист, педагог. Він любив Україну за яку загинув в неволі. Споруджено за сприяння партії ""Християнсько-Демократичний Союз""",POINT (30.4061795 50.4792584)
3290,Пархоменко Олександр,,"я вулиця названа ім'ям легендарного героя громадянської війни Пархоменка Олександра Яковича (1886-1921) командира 12-ї кавалерійської дивізії 1-ї кінної армії, яка брала учать у розгромі білополяків, військ Врангеля та банд Махно",POINT (30.4240818 50.4589001)
3291,Памятник В. И. Вернадскому,,,POINT (34.1339611 44.936429)
3292,Руднєв,,,POINT (33.8816016 51.3337155)
3293,"Памятник курсантам, погибшим в Великой Отечественной войне",,,POINT (33.4796139 44.6043991)
3294,Памятник Минскому полку в честь боя 1854г,,,POINT (33.6426367 44.8257589)
3295,Олександру Невському,Alexander Nevskiy,,POINT (36.286838 49.989494)
3296,Дзержинский Ф.Э.,,,POINT (34.0848262 44.9419396)
3297,"Мемориал погибшим в концлагере ""Толле""",,,POINT (33.8167634 44.7314652)
3298,Памятный тур 25 погибшим пограничникам ВОВ,,,POINT (34.5073239 44.8574686)
3299,Бой у Холодной воды,,,POINT (34.9546963 44.9532885)
3300,Братское кладбище воинов Приморской армии,,,POINT (33.6532228 44.5204049)
3301,Братская могила воинов 383-й Феодосийской Краснознаменной стрелковой дивизии,,,POINT (33.6511416 44.5147463)
3302,Памятник летчику-испытателю подполковнику Белокопытову Н.П.,,,POINT (35.224285 45.1561247)
3303,Павшим партизанам в 1942г,,,POINT (34.4341597 44.8415757)
3304,Три грации,,,POINT (34.0987854 44.9630807)
3305,Место лагеря Ичкинского партизанского отряда,,,POINT (34.7126852 44.8987628)
3306,Грифон,,,POINT (36.435964 45.3484839)
3307,Грифон,,,POINT (36.4358795 45.3486111)
3308,Старшинову Н.В.,,,POINT (35.3773201 45.0273774)
3309,Тральщик «Минреп»,,,POINT (35.3736149 45.0264696)
3310,"Братская могила советских воинов, 1941-1944 гг.",,,POINT (36.6035817 45.3542869)
3311,Узникам лагеря Толле,,,POINT (33.8259646 44.7281614)
3312,Землякам погибшим во 2-й мировой войне,,,POINT (35.1006999 44.8780146)
3313,Федоренко М.А.,,,POINT (34.1465737 44.8984887)
3314,Братская могила Воинов ВОВ,,,POINT (35.2760593 45.0159821)
3315,Место боя 3 ноября 1941 года,,,POINT (34.3786778 44.7263056)
3316,Место расположения центрального штаба командующего партизанским движением,,Место расположения центрального штаба командующего партизанским движением в Крыму Мокроусова А.В.,POINT (34.4333754 44.8498901)
3317,памятник ВОВ,,,POINT (35.1260053 44.9267688)
3318,Николай II и Лев Голицын,,,POINT (34.9118236 44.8281786)
3319,Памятник-захоронение матроса Бобырь А.Г. и его сына юнги Бобырь Д.А.,,,POINT (33.6039957 44.9705532)
3320,Видатним діячам,,"У цьому будинку під час перебування у Тернополі зупинялись видатні діячі української літератури і мистецтва: І.Франко 1905,1911;П.Тичина 1958;М.Рисьський 1959;С.Крушельницька 1907,1928,1932;М.Заньковецька 1906;К.Рубчакова 1906,1911;Н.Ужвій 1959,1971,1977.",POINT (25.5953204 49.5528593)
3321,Танк Т-34-85,Monument to the liberators of Berdichev,Монумент визволителям Бердичева,POINT (28.6106746 49.8897086)
