,name,name:en,inscription,geometry
5296,Братська могила розстріляних євреїв,Jewish Mass Grave,"Рахиль плаче за дітьми своїми, не хоче потішена бути за діти свої, бо нема їх… Єремія 31:15",POINT (29.249422 50.482056)
5297,Братська могила розстріляних євреїв,Jewish Mass Grave,"Здесь похоронены советские граждане, зверски убитые немецко-фашистскими извергами 12.IX.41 г.",POINT (29.0426347 49.2158749)
5298,М. М. Гришко,M. M. Gryshko,"Засновник і перший директор центрального ботанічного саду АН України з 1944-64
Академік Гришко Микола Миколайович",POINT (30.558224 50.4148669)
5299,В.І. Вернадський,,,POINT (30.3569335 50.4665335)
5300,"Трактор ""Універсал-2""",,,POINT (29.5422341 50.1009684)
5301,Захисникам батьківщини,,,POINT (31.3668332 50.1915389)
5302,Пам'ятний знак жертвам СНІДу,AIDS Memorial,,POINT (24.009644 49.8335415)
5303,"Меморіальна дошка, встановлена до 100-річчя львівського трамвая",,Львівському трамваю 100 років. 1894 — 1994,POINT (24.0177466 49.8323465)
5304,В. И. Ленину,V. I. Lenin,,POINT (34.5969421 44.773688)
5305,Пам'ятник В.I. Ленiну,,,POINT (38.7970607 48.4688808)
5306,Пам'ятний знак про скасування панщини,,,POINT (25.6856611 49.3295201)
5307,Пам'ятний знак «За тверезість»,,,POINT (25.6873257 49.3346103)
5308,Символічна могила «Борцям за волю України»,,,POINT (25.6878461 49.3352091)
5309,Фігура святого Антонія,,,POINT (25.7188327 49.3556555)
5310,Символічна могила «Борцям за волю України»,,,POINT (25.7195475 49.3564703)
5311,Фігура,,,POINT (25.714735 49.3591575)
5312,Фігура,,,POINT (25.7243864 49.3605556)
5313,Фігура,,,POINT (25.7315511 49.3755803)
5314,Фігура,,,POINT (25.7274067 49.3825804)
5315,Фігура,,,POINT (25.7264759 49.3852507)
5316,Фігура,,,POINT (25.7268141 49.3893588)
5317,Хрест,,,POINT (25.7661869 49.3781022)
5318,Арка,,,POINT (38.0266239 48.5962543)
5319,Погруддя Т.Г. Шевченка,,"Свою Україну любіть. Любіть її… во врем'я люте, В остатню, тяжкую минуту, За неї Господа моліть. Т. Шевченко",POINT (37.2495954 47.7793282)
5320,Тарас Шевченко,,,POINT (24.5963106 48.8794909)
5321,Воїнам-визволителям,,,POINT (24.6534906 48.8551204)
5322,Борцям за волю України,,,POINT (24.6524486 48.853668)
5323,"Трактор ""Універсал-2""",,,POINT (36.9379214 50.2732311)
5324,Пам'ятник воїнам і партизанам загиблим в роки Великої Вітчизняної війни,,,POINT (28.3403696 51.38563)
5325,Пам'яті спалених поліських сіл,,,POINT (28.3432553 51.381851)
5326,Монумент,,,POINT (28.8487152 50.2876061)
5327,Тарас Шевченко,,,POINT (25.5812684 49.1672243)
5328,Фігура Зарваницької Матері Божої,,,POINT (25.5893535 49.1631893)
5329,Фігурка Діві Марії,,,POINT (25.6125699 49.1611099)
5330,Загиблим воїнам,,,POINT (25.7267134 48.8505875)
5331,Небесній сотні,,,POINT (26.1146143 50.7545987)
5332,Меморіальна дошка,,"Весною 1943 року у березні референти УПА організували операцію захоплення зброї на заводі, територія якого охоронялася українцями, які здалися німцям. Там їх спіткала невдача .Командир та його побратими загинули під час перестрілки. На центральній прохідн",POINT (26.1189459 50.7556183)
5333,Богородиця,,,POINT (24.2973338 49.9072118)
5334,Пам'ятник св. Антонію Падевському,,,POINT (24.2961785 49.9073446)
5335,Братська могила Січових стрільців,,,POINT (24.2873237 49.9086668)
5336,Пам'ятник Папі Римському,,,POINT (24.2983211 49.9069857)
5337,Меморіал Вічний Вогонь,,,POINT (34.3362728 46.3527133)
5338,Воїнам-афганцям,Afghan Memorial,,POINT (31.9208555 50.4099602)
5339,Пам'ятник Невідомому солдату,,Памятник Неизвестному солдату,POINT (34.3361976 46.352714)
5340,памятник князю Голицыну,,,POINT (33.3614581 45.1899222)
5341,Марко Вовчок,,,POINT (30.8653005 49.5423775)
5342,Памятник А.С. Пушкину,,,POINT (34.413326 44.6695)
5343,Пам’ятник героям ВВВ,,,POINT (31.38371 51.5320263)
5344,Пам'ятник солдату,,,POINT (36.2906595 50.142067)
5345,Т.Г. Шевченко,,,POINT (26.7525027 51.0034075)
5346,Тарас Бульба-Боровець,,,POINT (26.756619 51.002299)
5347,"Пам'ятник ""Богородиця""",,,POINT (24.3028709 49.9154616)
5348,Братське поховання воїнів Великої Вітчизняної Війни,,,POINT (37.443411 48.9935462)
5349,Сусловой-Голубевой,,,POINT (34.404154 44.677308)
5350,Пам'ятник Івану Франкові,,,POINT (24.1283393 49.4741177)
5351,Загиблим мінерам,,,POINT (37.4102804 47.1154247)
5352,Т. Г. Шевченко,,,POINT (37.5518751 47.0948551)
5353,В. Г. Короленко,,,POINT (37.5522987 47.0958237)
5354,1998 рік біди і випробувань,,,POINT (22.7171757 48.4438007)
5355,Пам'ятний барельєф з нагоди 300-ліття заснування монастиря,,Пам'ятний барельєф з нагоди 300-ліття заснування монастиря,POINT (25.3963217 49.0604541)
5356,Pogruddya Tarasovi Shevchenku Погруддя Тарасові Шевченку,,,POINT (25.39614 49.0586798)
5357,Зелена планета,Green planet,,POINT (30.7449727 46.4557805)
5358,Пам'ятник полеглим за Батьківщину 1941-1945,Monument to the Fallen for the Motherland in 1941-1945,,POINT (32.2144997 51.5258022)
5359,Пам'ятник Невідомому солдату,The Cenotaph,,POINT (32.21496 51.5253153)
5360,Братська могила часів другої світової війни,Mass grave during the Second World War,,POINT (32.2224444 51.5118207)
5361,Т.Г. Шевченко,,,POINT (32.2191882 51.5185541)
5362,Героям ВВВ 1941-1945,,,POINT (32.221173 51.51804)
5363,2000-ліття Різдва Христового,,,POINT (25.6260737 49.2928914)
5364,Хрест боротьби з пияцтвом,,,POINT (25.6262161 49.292864)
5365,Фігура Божої Матері,,,POINT (25.0486149 50.049879)
5366,"Трактор ""Універсал-2""",,,POINT (33.1736893 51.201876)
5367,Братська могила,,Похоровано 203 воїна.,POINT (36.4965957 49.8205945)
5368,Меморіал учасн. боєв. дій в Афганістані,,,POINT (36.4967674 49.8206637)
5369,Пам'ятний камінь,,,POINT (25.6288558 49.29188)
5370,Противотанковая пушка,,,POINT (30.856393 50.9510977)
5371,Івану Франку,,,POINT (25.6926046 49.2990678)
5372,Небесній сотні,,,POINT (25.695386 49.2944359)
5373,Погруддя Семену Палію,,Славному козаку війська Запорожзького полковнику охочєкомонному Фастівському і Білоцерківському Сеиену Палію 14.08.1622 -14.01.1710 Будь гідним пам'яті отих. Хто ліг за волю у могилу. Згадай їх славних і святих. Черпай від них наснагу й силу.,POINT (29.9194216 50.0783759)
5374,Героям Небесної Сотні,,,POINT (29.2489086 50.7685098)
5375,Фігура св. Яна Непомука 1753 р.,,,POINT (25.0905512 50.2425848)
5376,воїнам-визволителям,,,POINT (24.4852069 49.0209389)
5377,Братська могила розстріляних євреїв,Jewish Mass Grave,,POINT (37.5135295 48.0013624)
5378,Братська могила розстріляних євреїв,Jewish Mass Grave,,POINT (37.4381232 47.1141474)
5379,Пам'ятник Івану Пулюю,Monument of Ivan Puluj,,POINT (26.0111419 49.3307548)
5380,в честь 2000-річчя Різдва Христового,,,POINT (24.6945271 49.1774971)
5381,воїнам-визволителям,,,POINT (24.6972173 49.2017426)
5382,Пам'ятник Тарасу Шевченку,Monument of Taras Shevchenko,,POINT (26.012185 49.3342508)
5383,Небесній сотні,,,POINT (24.7379777 49.1807016)
5384,Тарас Шевченко,,,POINT (24.7409508 49.1822364)
5385,Наталія Лотоцька,,,POINT (24.7403975 49.181731)
5386,Іван Павло II,,,POINT (24.7387286 49.18005)
5387,меморіал ОУН,,,POINT (24.7373437 49.1807865)
5388,борцям за волю України,,,POINT (24.74278 49.1883811)
5389,воїнам-визволителям,,,POINT (24.7430482 49.2290625)
5390,Тарас Шевченко,,,POINT (24.7444493 49.229232)
5391,Небесній сотні,,,POINT (24.7322354 49.2693928)
5392,загиблим односельчанам,,,POINT (24.7322296 49.2693631)
5393,борцям за волю України,,,POINT (24.7314906 49.2671797)
5394,борцям за волю України,,,POINT (24.7419995 49.243138)
5395,борцям за волю України,,,POINT (24.7217415 49.1750849)
5396,полеглим односельчанам,,,POINT (24.724881 49.17502)
5397,на честь скасування панщини,,,POINT (24.7506405 49.2229364)
5398,борцям за волю України,,,POINT (24.7519264 49.2212469)
5399,воїнам-визволителям,,,POINT (24.7402105 49.1829207)
5400,10 років волі (1991-2001),,,POINT (24.7464298 49.2267127)
5401,Пам'ятник загиблим воїнам,,,POINT (26.0120382 49.3323006)
5402,Розп'яття Ісуса Христа,,,POINT (22.8877613 49.0029129)
5403,Львівська область,,,POINT (22.8886856 49.00314)
5404,Обеліск на місці витоку Сяну / Obelisk na miejscu źródła Sanu,,,POINT (22.8786786 49.0053295)
5405,Борцям за Волю України,,,POINT (24.8316611 50.2413711)
5406,Пам’ятник Св. архангелу Михаїлу,,"Присвячений синам та донькам України, полеглим у 2013 – 2014 році",POINT (29.9075474 50.0781744)
5407,Пам’ятний знак жертвам Голокосту,,,POINT (25.25141 50.1091201)
5408,"Пам’ятний знак, присвячений воїнам 13-ї армії генерала М.П.Пухова",,,POINT (25.2405375 50.1223692)
5409,Радянський військовий з дитиною,,,POINT (25.2466249 50.1309059)
5410,Пам’ятний знак ОУН-УПА,,,POINT (25.2471614 50.1291882)
5411,Меморіал Слави радянським військовим,,,POINT (25.2657397 50.1352455)
5412,Героям Небесної Сотні,,,POINT (25.2497725 50.127491)
5413,Мемориал Цыбулько В.Г.,,Улица названа именем Героя Советского Союза Цыбулько Василия Григорьевича павшего смертью храбрых при обороне г. Севастополя 7.11.1941 г.,POINT (33.7046843 44.6879694)
5414,Жертвам Голодомору 1932–1933 років в Україні.,,,POINT (25.255873 50.1187776)
5415,Скульптура Рыбака с рыбой,,,POINT (35.3892276 45.0243467)
5416,Авиценна,,,POINT (34.3449756 44.5745385)
5417,Меморіальний комплекс,,,POINT (31.8607106 48.9790747)
5418,Пам'ятник Адаму Міцкевичу,Monument of Adam Mickiewicz,,POINT (26.0126065 49.3327177)
5419,Пам'ятник жертвам репресій,,,POINT (26.0138279 49.335571)
5420,Загиблим мешканцям у 2-ій Світовій Війні,,,POINT (29.3713045 50.7089283)
5421,борцям за волю України,,,POINT (24.6723023 48.9651898)
5422,Діва Марія,,,POINT (24.6916839 48.9934146)
5423,Діва Марія,,,POINT (24.6966514 48.9900513)
5424,Діва Марія,,,POINT (24.7228271 48.9579009)
5425,Степану Бандері,,,POINT (25.7930743 49.0190876)
5426,Діва Марія,,,POINT (24.7326721 48.9268241)
5427,Діва Марія,,,POINT (24.7342446 48.9260606)
5428,Іван Франко,,,POINT (23.3511167 48.9511452)
5429,Микола Лепкий,,"в цьому дому в 20-х роках XX ст. проживав видатний педагог, просвітитель, громадський діяч Микола Лепкий, бували його брати Богдан і Лев",POINT (24.7164185 48.9241128)
5430,Іван Боднарук,,"в цьому будинку в 50-70 роках перебував Іван Боднарук (15.05.10-23.10.77), магістр Краківської академії мистецтв, з 1953 по 1955 головний архітектор міста Станіслав, ""батько"" гуцульської оригінальної архітектури",POINT (24.7176259 48.9248539)
5431,Шахтар та колгоспниця,,,POINT (36.2408277 49.9886289)
5432,Борцям за волю України,,,POINT (24.6726217 50.33165)
5433,Танк ІС-2,,,POINT (25.7065922 50.4028067)
5434,австрійське кладовище ПСВ,Austrian cemetery WW1,,POINT (24.5182719 48.176441)
5435,Стефаник Василь,,,POINT (25.5197973 48.516346)
5436,Воїнам УПА,,,POINT (36.2479209 50.0080708)
5437,Могила Хвильового поета,,,POINT (36.2487012 50.0084993)
5438,Жертвам голодомору,,,POINT (36.2485378 50.008201)
5439,Військовий меморіал,,,POINT (31.8942501 48.9933794)
5440,Ленину В.И.,,,POINT (33.5655163 44.8153705)
5441,Полеглим у І світовій війні воїнам-односельцям,,,POINT (25.3574984 49.1670208)
5442,Аметхану Султану,,,POINT (34.0825502 44.9622437)
5443,Пам’ятник Зубковському,,,POINT (33.6104596 49.9682917)
5444,Полеглим у війні,,,POINT (26.1418641 49.5337165)
5445,Андрею Первозванному,,,POINT (33.4928999 44.6112353)
5446,памятник Козакам,,,POINT (33.61206 49.9663387)
5447,Афганцям,,,POINT (26.1414073 49.5335068)
5448,Чорнобильцям,,,POINT (26.1415646 49.5333683)
5449,"Героям, погибшим спасая детей",,,POINT (33.5716848 44.5884989)
5450,памятник евреям,,,POINT (33.552431 44.6271881)
5451,500 років Східниці 1515-2015,,,POINT (23.343408 49.2258396)
5452,295 Стілецької дивізії,,,POINT (32.6180177 46.6416283)
5453,Богородиця,,,POINT (24.288921 49.9082531)
5454,Богородиця,,,POINT (24.3019343 49.8939337)
5455,1941-1945,,,POINT (24.4267942 49.0376778)
5456,Хрест зі шпаківень,,,POINT (25.3557984 48.8183908)
5457,Воїнам АТО,,,POINT (24.9893292 48.4535116)
5458,М. И. Пуговкину,,,POINT (34.1634488 44.4905402)
5459,Энергоблокаде Крыма,,,POINT (34.1618667 44.4899708)
5460,Н. З. Бирюкову,,,POINT (34.1526409 44.4904283)
5461,Глущенко Микола Петрович,,Глущенко Микола Петрович народний художник України.,POINT (31.5698466 51.6365418)
5462,Місце розташування майбутнього мосту через Бистрицю-Солотвинську,,,POINT (24.712498 48.9401596)
5463,Воїнам партизанам,,,POINT (30.3970775 50.4108163)
5464,Загиблим екіпажу ДАІ,Загиблим екіпажу ГАИ,,POINT (30.4108042 50.4086058)
5465,Пам`ятник академіку М.Ф.Іванову,,Пам`ятник академіку М.Ф.Іванову,POINT (33.8708726 46.4549898)
5466,"Святе цілюще джерело, фігура Матері Божої",,,POINT (24.196435 49.505956)
5467,Пам'ятник Леніну,,"Пам'ятник Леніну у місті Васильків, що ще зберігся станом на літо 2017р на території колишнього Шкірзаводу.",POINT (30.3122683 50.1782998)
5468,Другої світової,,,POINT (25.2606849 48.7871362)
5469,Наджабов Джалиль Бабир-оглы,Nadzhabov Jalil Babir-oglu - colonel commander of the liberation of Yalta from the Nazi invaders,"Наджабов Джалиль Бабир-оглы - полковник, командовавший освобождением Ялты от немецко-фашистских захватчиков",POINT (34.1716431 44.5117266)
5470,Тарасу Шевченку,,,POINT (25.3446633 48.9297598)
5471,Т-34-85,,,POINT (35.9513021 50.2035599)
5472,Воїнам ВВВ,,,POINT (35.9436665 50.2028542)
5473,Ігорю Гереті,,,POINT (25.5927202 49.5516383)
5474,Пам'ятник трактору Т-74,,,POINT (30.777747 50.0781538)
5475,Пам'ятний знак Т.Г. Шевченку,,,POINT (30.7783557 50.0781197)
5476,Тарасові Шевченку,,,POINT (24.7054071 49.4660035)
5477,Бюст Б.Хмельницького,,,POINT (37.8486213 48.3365019)
5478,Дівчинка з ведмежатком та книжкою,,,POINT (37.8416991 48.3342136)
5479,Загиблим воїнам Другої світової війни,,,POINT (37.8540108 48.3192748)
5480,Дельфины,,,POINT (30.606278 46.2267573)
5481,К. Паустовскому,,"Выдающийся советский писатель
Константин Георгиевич Паустовский (1892-1968)
Жил и работал на улице Приморской в августе 1960 года",POINT (30.6061918 46.2267283)
5482,МіГ-15УТИ,,Загиблим працівникам Новгородського машинобудівного заводу,POINT (37.8288517 48.3300457)
5483,І.І.Леніну,,,POINT (37.8361794 48.3331108)
5484,Меморіал загиблим у другій світовій війні,,,POINT (37.8379844 48.333013)
5485,"Загиблим воїнам, що звільняли селище",,,POINT (37.8227639 48.3351229)
5486,"Загиблим воїнам, що звільняли місто",,,POINT (37.8898546 48.3721606)
5487,Григорій Хомишин,,,POINT (24.7049443 48.9188336)
5488,В'ячеслав Чорновіл,,"У цьому будинку часто бував засновник Народного руху України, його голова, Герой України В'ячеслав Чорновіл (1937-1999)",POINT (24.706043 48.9193634)
5489,Діва Марія,,,POINT (24.7199424 48.9286383)
5490,Микола Більчук,,"У цьому будинку проживав Микола Більчук (1928 - 2005) Громадський діяч, художник, педагог, директор Івано-Франківської дитячої художньої школи",POINT (24.7181046 48.9265442)
5491,Діва Марія,,,POINT (24.7065903 48.9337238)
5492,музикант,,,POINT (24.7063918 48.9341757)
5493,Геннадій Бурнашов,,,POINT (24.7092044 48.929673)
5494,Братское захоронение воинов ВОВ,,,POINT (33.7981492 44.707853)
5495,Іван Сірко,Ivan Sirko,,POINT (36.2298355 49.9933991)
5496,Максиму Горькому,,,POINT (37.881972 48.3728265)
5497,Артему,,,POINT (37.8834528 48.3732187)
5498,Аллея слави,,,POINT (33.9980412 45.1103013)
5499,МіГ-17ПФ,,,POINT (33.998599 45.1095792)
5500,"Ходорів'янам, які полягли в боротьбі з окупантами за волю України 1943-1950рр.",,,POINT (24.3127773 49.4038635)
5501,Героям ВОВ,,,POINT (33.8565731 45.7175447)
5502,Памятник волонтерам України,,,POINT (30.5285422 50.4000775)
5503,загиблим воїнам в роки великої вітчизняної війни,,,POINT (32.4111416 51.429171)
5504,"""Аллея Мира"" сооружена в честь 60-летия Великого Октября",,,POINT (34.0528417 45.0144802)
5505,"Пам'ятник односельчанам, що загинули на фронтах Другої світової війни",,,POINT (25.8180704 49.6040044)
5506,Мечникову І. І.,Mechnikov I. І.,,POINT (30.723323 46.5008689)
5507,Пам'яті замордованих євреїв,Memorial for the murdered Jews,Узникам расстрелянного фашистами мариупольского гетто. Октябрь 1941.,POINT (37.5418653 47.093421)
5508,Ф. И. Шаляпину,,,POINT (34.2772291 44.5414455)
5509,А. П. Чехову,,,POINT (34.2773083 44.5413876)
5510,Мицкевичу,,,POINT (34.2773654 44.5413369)
5511,Горькому,,,POINT (34.2770791 44.5416186)
5512,Пушкин молодой,,,POINT (34.2774123 44.541283)
5513,А. С. Пушкину,,,POINT (34.2777592 44.5429852)
5514,Лесе Украинке,,,POINT (34.2771586 44.5415245)
5515,"Памятник краснофлотцам, павшим в боях за Крым в 1941-1944 гг",,,POINT (36.3557333 45.3223335)
5516,Капличка,,,POINT (24.1188042 49.4996304)
5517,Михайлові Рожкові,,Михайло Рожко дослідник Тустані,POINT (23.4087316 49.1906642)
5518,Памятник Ленину,,,POINT (39.7982944 48.3077668)
5519,Козак Деркач,,,POINT (36.1439764 50.0898608)
5520,Діва Марія,,,POINT (24.6917175 49.0209234)
5521,Діва Марія,,,POINT (24.7069913 48.9854169)
5522,танкістам,,,POINT (24.839129 48.9043086)
5523,Роман Гурик,,"у цьому будинку проживав Роман Гурик (1994 - 2014) Студент факультету філософії ПНУ ім. В. Стефаника, активіст Євромайдану, герой ""Небесної сотні""",POINT (24.7046549 48.9204188)
5524,Оксана Затварська,,"У цьому будинку проживала Оксана Затварська (15.11.1921 - 16.09.2014), заслужена артистка України, почесний громадянин С. Яблунів, актриса багатогранного сценічного таланту, легенда українського театру",POINT (24.7056505 48.9207145)
5525,Місце загибелі Леоніда Бикова,,,POINT (30.2783526 50.7853537)
5526,Т-74,,,POINT (37.595098 48.8635208)
5527,Пам'ятник Чорнобильцям,,,POINT (29.8941551 50.9220904)
5528,зліт 50-ти річчя Піонерії СРСР,,,POINT (30.3043351 50.5323604)
5529,А. С. Макаренку,,,POINT (32.7636946 48.1140664)
5530,Паротяг Еу 681-59,,,POINT (32.7615346 48.1147486)
5531,Флагшток,,,POINT (30.634803 50.4015311)
5532,Діва Марія,,,POINT (23.4915322 49.1095095)
5533,пам'ятний знак на честь перебування в селі Степана Бандери,,,POINT (23.4918976 49.1091736)
5534,Діва Марія,,,POINT (23.4981197 49.1068827)
5535,Ісус Христос,,,POINT (23.4940696 49.1090055)
5536,Діва Марія,,,POINT (23.3899542 49.1526258)
5537,в честь скасування панщини 1848 р.,,,POINT (23.3828276 49.1464916)
5538,Діва Марія,,,POINT (23.4546384 49.1411672)
5539,Пам'ятний знак Ліквідаторам аварії на ЧАЕС від вдячних фастівчан,,Пам'ятний знак Ліквідаторам аварії на ЧАЕС від вдячних фастівчан,POINT (29.9007452 50.0652647)
5540,Воїнам-інтернаціоналістам,,,POINT (32.7691525 48.1143653)
5541,Монумент на братскій могилі,,,POINT (32.7697013 48.1151621)
5542,Братська могила часів Другої світової війни,,,POINT (32.7693921 48.1151448)
5543,Погруддя Т.Г. Шевченко,,,POINT (32.7683719 48.1161232)
5544,Танк ІС-3,,,POINT (32.7561929 48.1532823)
5545,М. Горький,,,POINT (34.4154871 44.6735829)
5546,Т.Г. Шевченко,,,POINT (37.2768575 49.1911181)
5547,Першим давньогрецьким колоністам,,,POINT (30.739264 46.4901441)
5548,"БМ-13 ""Катюша""",,,POINT (30.721277 46.3742655)
5549,СУ-100,,,POINT (30.7222504 46.3746024)
5550,танк Т-34-85,,,POINT (30.7222906 46.3745599)
5551,Трамвай,,,POINT (30.7207701 46.374026)
5552,Винищувач І-16,,,POINT (30.7208878 46.3742156)
5553,Танк НІ-1,,,POINT (30.7221994 46.3746431)
5554,ЗРК С-125 «Нева»,,,POINT (30.7207567 46.3741816)
5555,БАВ ЗИС-485,,,POINT (30.7221136 46.3747189)
5556,Польова кухня,,,POINT (30.7221489 46.3746823)
5557,Орудійний двір № 2,,Орудийный двор № 2 с образцом однорудийной щитовой установки МО-1-180 с орудием Б-1-П,POINT (30.7193112 46.3732198)
5558,Пам'ятник жертвам голодомору,Monument to the victims of the Holodomor,,POINT (30.8648685 49.5372964)
5559,Пам'ятник Шолом Алейхему,Monument to Sholom Aleichem,,POINT (30.864938 49.5377913)
5560,Пам'ятник Ярославу Мудрому,Monument to Jaroslav Mudry,,POINT (30.8755267 49.5495365)
5561,Пам'ятник Тарасу Григоровичу Шевченку,Monument to Taras Hryhorovych Shevchenko,,POINT (30.8746785 49.549228)
5562,"Мир і слава героям твоїм, Україно",,,POINT (25.0746632 50.1196683)
5563,Пам'ятник Бояну,,,POINT (33.2615812 52.0137753)
5564,ЗіС-3,,,POINT (36.208446 49.9926414)
5565,колона Непорочного Зачаття Діви Марії,,,POINT (25.1955382 49.8992735)
5566,Борцям за волю і незалежність України,,"Василю Біласу, Юрію Березинському, Володимиру Старику! Слава Україні! Героям слава!",POINT (23.6555748 49.7864085)
5567,Вихідний пункт першої нівелірної мережі,,"Вихідний пункт першої нівелірної мережі м. Львова. Закладено у 1880 р. видатним астрономо-геодезистом, академіком Краківської АН, першим завідувачем кафедри геодезії, ректором Львівської Політехніки професором Домініком Зброжеком.",POINT (24.0145975 49.8351407)
5568,Андрій Кузьменко,Andriy Kuzmenko,"Змінюйте світ на краще, піклуйтеся про нього, тому що ви в ньому живете",POINT (25.3510023 50.7446804)
5569,Загиблим землякам,,,POINT (27.2361508 49.0351741)
5570,Харченко Максим Борисович,,Герої не вмирають,POINT (30.4185617 50.442437)
5571,Героям Чорнобиля,,,POINT (35.611402 49.8353345)
5572,Воинам авганской войны,,,POINT (35.6114411 49.8353731)
5573,Михайло Павлик,,"Вулицю названо на честь видатного українського політичного діяча, публіциста, письменника, приятеля І.Франка, М.Драгоманова, В.Стефаника Михайла Павлика 1853-1915",POINT (24.7178465 48.9236945)
5574,Григорій Семанишин,,,POINT (24.7161465 48.9213825)
5575,Ірина Вільде,,,POINT (24.7193979 48.9206544)
5576,Олег Ґерета,,,POINT (24.7194503 48.9206835)
5577,Вікентію Хвойці,,,POINT (30.7752057 50.1253414)
5578,Атланти,Atlas,,POINT (30.7356939 46.489734)
5579,героям-пожежникам,,,POINT (24.7204238 48.924841)
5580,Вічний вогонь,,,POINT (27.2358209 49.0353807)
5581,Вагон,,,POINT (23.7070304 48.4232249)
5582,Вагон,,,POINT (23.7068956 48.4231588)
5583,Могила льотчика М. М. Плохого,,,POINT (30.7323699 46.529906)
5584,Діва Марія з ангелами,,,POINT (24.7483121 49.1818927)
5585,борцям за волю України,,"На цій ділянці лісу 3.01.1950 р. загинули в бою з ордами НКВД за волю України воїни УПА: Харків Петро - Харченко, Коржак Федір - Бистрий, Дзвоник Микола - Чумак, Озарко Михайло - Лиман, Пташник Володимир - Смілий. Вічна їм слава та пам'ять.",POINT (24.8067749 49.0862763)
5586,Пам'ятник Горькому,Monument to Gorkyi,,POINT (38.3681292 49.040008)
5587,"Трактор ""Універсал-2""",,,POINT (38.1060152 48.870079)
5588,ЗПУ-1,,,POINT (30.7184042 46.3726167)
5589,Гармата Б-13-П-С,,,POINT (30.7211222 46.3735596)
5590,Гармата ПМ-120,,,POINT (30.7182531 46.3727203)
5591,Укриття,,,POINT (30.7209089 46.3734402)
5592,Гармата Б-34 100мм,,,POINT (30.7210109 46.3734976)
5593,Торпедний апарат калибру 5334мм,,,POINT (30.7201526 46.3730192)
5594,"Оптичний дальномір ""Чайка""",,,POINT (30.7205629 46.3732385)
5595,Бомбометальник,,,POINT (30.7203014 46.3730933)
5596,Противо-торпедна сітка,,,POINT (30.7198039 46.3728314)
5597,КМД-2-1000,,,POINT (30.7196845 46.3727592)
5598,Гармата 100мм КС-19М2,,,POINT (30.719352 46.3730534)
5599,Гармата АЗП-57 Типу С-60,,,POINT (30.7195451 46.3731469)
5600,ПУ С-75М «Волхов»,,,POINT (30.720951 46.3743003)
5601,Зенітна артилерія 52-К,,,POINT (30.7211358 46.3743697)
5602,ГМЗ,,,POINT (30.7195853 46.3727028)
5603,Міна контактна якірна,,,POINT (30.7194793 46.3726454)
5604,ПМ-1,,,POINT (30.72006 46.3729646)
5605,АМД-2-500,,,POINT (30.7199568 46.3729054)
5606,ПЗМТ-4,,,POINT (30.7193559 46.3725769)
5607,Памятник П. В. Изергину,,,POINT (34.0289894 44.4061567)
5608,пам'ятник Тараса Григоровича Шевченка,,,POINT (23.5664134 49.9318552)
5609,Таврія,,,POINT (29.9487754 50.4516374)
5610,Т.Г. Шевченко,Taras Shevchenko,,POINT (31.3087773 51.4865968)
5611,Памятник герою Советского Союза Тосую Борису Терентьевичу,,,POINT (36.2220311 45.3127604)
5612,А. С. Пушкин,,,POINT (31.3085012 51.4897018)
5613,Пам'ятник Тарасу Шевченку,Monument to Taras Shevchenko,,POINT (24.2769934 50.4794305)
5614,Женщинам фронтовикам 1941-1945,,,POINT (33.4795093 44.6023761)
5615,В. П. Ефремову,,,POINT (33.4804122 44.6020377)
5616,Героям ВВВ,,,POINT (31.1441537 47.8177801)
5617,Бывший памятник Ленина,,,POINT (34.4082176 47.4894583)
5618,Мемориал воинам освободителям,,,POINT (34.4050418 47.4910568)
5619,Мемориал освободителям района,,,POINT (34.4061737 47.4900401)
5620,"Памятник односельчанам, погибшим в годы Великой Отечественной войны",,,POINT (36.3949142 45.1223126)
5621,Братское захоронение воинов Великой Отечественной войны,,,POINT (36.394465 45.1226305)
5622,Пам'ятник Симону Петлюрі,,,POINT (28.4736164 49.2355256)
5623,"""Альоша""",,,POINT (24.1783338 49.7275346)
5624,600 років моєму рідному місту,"600 years, which is my hometown. Hometown from true son. Yan Tabachnik.",,POINT (25.9369531 48.294315)
5625,Братська могила,,Братська могила Радянських воїнів Південного фронту(охоронний номер – 1693),POINT (37.7242866 48.2061972)
5626,Пам'ятник оборони Києва 1941р. КіУР,,,POINT (30.2418793 50.4476701)
5627,Якоря,,,POINT (36.4051925 45.2701741)
5628,Памятный знак «Звезда Героям» в честь Героя Советского Союза Курбанова С. К,,,POINT (36.5915912 45.3870544)
5629,Київ – місто герой,Kyiv is the hero city,,POINT (30.4394481 50.3574283)
5630,Жертвам НКВС,,Православный памятный крест установлен в память умерших мученической смертью от рук работников городского отдела НКВД в 1932-1941 и от голода в 1932-1933 годах в г. Мариуполе.,POINT (37.5390668 47.1068044)
5631,Пам'ятний знак 117 воїнам-односельчанам,,,POINT (31.0575897 50.8658579)
5632,Пам'ятник полеглим за Батьківщину 1941-1945,Monument to the Fallen for the Motherland in 1941-1945,,POINT (31.0714793 50.8833997)
5633,Братська могила 9 радянських воїнів,,Пам’ятник полеглим за Батьківщину у 1941-1945,POINT (31.1547212 51.0575406)
5634,В’їзна стела Чернігів,,,POINT (31.3071422 51.4454767)
